symbol,mcap_cr
ANANTRAJ,22643.5
CEMPRO,22411.4
EMMVEE,22390.4
CGCL,22279.6
CESC,21885.2
BIRET,21866.5
AADHARHFC,21683.2
IGL,21610.4
AETHER,20999.1
GESHIP,20743.0
DEEPAKFERT,20566.0
ASTRAZEN,20548.8
CARBORUNIV,20540.9
IFCI,20484.9
EIHOTEL,20468.2
GRANULES,20447.0
HBLENGINE,20405.7
CAMS,20127.0
CUB,20018.9
ATUL,20016.0
HATSUN,19982.7
CHENNPETRO,19628.0
CAPLIPOINT,19594.3
BAYERCROP,19549.8
ERIS,19049.7
BRIGADE,18950.0
CASTROLIND,18496.6
ELGIEQUIP,18492.1
INDIACEM,18407.9
CHOICEIN,18390.2
CHALET,18257.5
CHAMBLFERT,18153.6
ECLERX,17843.7
BASF,17813.8
GMDCLTD,17747.6
AARTIIND,17548.7
ASTRAMICRO,17466.1
INOXINDIA,17427.5
EMAMILTD,17145.7
CROMPTON,17124.9
CENTURYPLY,17100.7
ABDL,17058.1
GRWRHITECH,16998.0
ARE&M,16899.6
DIACABS,16694.4
COHANCE,16283.3
BIKAJI,16275.3
ALIVUS,16254.4
FIVESTAR,16194.0
APLLTD,15982.5
GPIL,15970.9
DCMSHRIRAM,15956.2
IGIL,15752.2
ABREL,15736.3
HAPPYFORGE,15711.2
AGARWALEYE,15656.3
CIEINDIA,15625.9
CLEANMAX,15605.5
AZAD,15390.5
FINCABLES,15272.5
AEQUS,15179.5
FINEORG,15160.4
HONASA,15054.2
GALLANTT,15045.1
CONCORDBIO,14960.1
APOLLO,14813.8
CCL,14807.8
DEVYANI,14699.1
AMAGI,14632.1
CEATLTD,14475.5
ARVIND,14329.9
CANHLIFE,14178.2
BEML,14147.5
EIDPARRY,14044.3
INGERRAND,13974.5
BALRAMCHIN,13837.3
ANURAS,13797.3
FRACTAL,13761.5
INOXWIND,13699.7
CARTRADE,13531.4
BBOX,13384.8
DOMS,13347.8
INDIGRID,13341.6
INDGN,13321.7
ACE,13239.5
APTUS,13088.2
GRAPHITE,13051.1
BLUESTONE,12973.6
HEG,12948.8
BLUEDART,12766.8
ENGINERSIN,12646.0
ATLANTAELE,12448.8
IRCON,12384.7
HOMEFIRST,12269.1
AVANTIFEED,12228.0
GRAVITA,12072.7
AVALON,11980.0
ABLBL,11531.8
IEX,11470.2
EDELWEISS,11126.5
ASKAUTOLTD,11114.9
AAVAS,11084.0
GODREJAGRO,10851.0
CANFINHOME,10782.2
IIFLCAPS,10546.0
BBTC,10515.3
INTELLECT,10440.3
FIRSTCRY,10399.8
AFCONS,10355.0
BLS,10268.7
AKUMS,10237.2
FINPIPE,10183.0
BLUEJET,10139.1
HCG,10092.8
BLACKBUCK,9952.1
ELECON,9708.7
BANCOINDIA,9563.5
ALKYLAMINE,9384.3
BATAINDIA,9187.1
CYIENT,9055.9
EUREKAFORB,9032.9
BSOFT,9015.0
GRINFRA,8748.6
GENUSPOWER,8744.7
EQUITASBNK,8727.9
ESABINDIA,8667.0
EMBDL,8519.5
ICIL,8318.3
CLEAN,8247.5
GAEL,8229.9
CERA,8129.6
IMFA,8062.4
AVL,8051.1
BORORENEW,8019.2
INDIASHLTR,7973.1
INDIAGLYCO,7844.8
ELANTAS,7803.2
GNFC,7707.0
ETHOSLTD,7669.8
CELLO,7612.8
GMRP&UI,7576.7
DBL,7566.7
GARFIBRES,7562.9
ABFRL,7440.6
GPPL,7385.5
DYNAMATECH,7302.8
EPL,7300.2
HMT,7224.6
HNDFDS,7118.9
BAJAJCON,7116.1
GALAXYSURF,7039.2
INOXGREEN,6945.8
BIRLACORPN,6897.0
GOKULAGRO,6876.7
AJAXENGG,6842.1
ASHAPURMIN,6833.5
AXISCADES,6810.9
CAMPUS,6803.5
ACI,6605.0
BALAMINES,6601.1
FDC,6559.6
GANESHHOU,6504.2
BECTORFOOD,6469.5
GSFC,6380.4
GREENLAM,6371.0
DODLA,6316.9
CELLECOR,6286.5
