symbol,security_id
011NSETEST,14747
021NSETEST,14751
031NSETEST,14753
041NSETEST,14755
051NSETEST,14758
061NSETEST,14762
071NSETEST,14764
081NSETEST,14767
091NSETEST,14769
0ABCL31,763751
0HFL28,762375
0IRFC35,760080
0MOFSL27,23704
0NHIT34,29432
0NHIT35,29425
0RL34,25706
0SCL27,23299
1003IIFL29,24141
1003ISFL28,20779
1003SCFL31,23315
1003SCL30,18874
1003SCL30A,20116
1003SCL31,23967
1003SCL31A,25566
1003SCL31P,28929
1003SCL32,30228
1003SFIL28,15249
10157PCP27,24549
1015ECL29,7975
1015SCFL29,23303
1015SCL28,20102
1015SCL28A,14710
1015SCL28B,17542
1015SCL29,23952
1015SCL29B,25558
1015SCL29T,28925
1015SCL30,30236
1015UCL27,756000
1018GS2026,6833
101NSETEST,14772
1020CCSP27,27134
1025IIFL30,756154
1025PATE28,758732
1025SCFL34,23317
1025SCL33,21030
1025SCL33A,18897
1025SCL34,23323
1025SCL34A,23974
1025SCL34B,25575
1025SCL34C,25568
1025SCL34U,28930
1025SCL34Z,28933
1025SCL35,30234
1025SCL35A,30204
1025UCL26A,25914
1025UCL27A,756002
1025VCCL28,757413
102CCSP27A,28967
1030SFIL28,14034
1035CCSP26,23390
1035CCSP27,23604
1039UCL26,755998
1040UCL27B,25916
1050IIFL29,24143
1050ISFL28,20784
1050SCFL31,23311
1050SCL30,20111
1050SCL31,23964
1050SCL31A,25564
1050SCL31T,28928
1050SCL32,30242
1050UCL28,756004
105IIFL29,19047
1060ECL29,7986
1065NFL27,23123
1075SCFL34,23319
1075SCL33,21042
1075SCL33A,18902
1075SCL33B,20118
1075SCL34,23970
1075SCL34C,25570
1075SCL34T,28931
1075SCL35,30232
1075WCA28,759215
1075WCA28B,755805
1075WCAP28,758995
1075WCAP29,764310
1077IIFL30,23024
1096GIPL28,760487
10CAGL27,12465
10IIFL28,5212
10IIFL28A,2871
10IIFL29,19045
10IIFLSF27,24139
10ISFL26,20771
10MWL29,763206
10SCL30A,18868
10SCL31,23309
10SCL31A,23961
10UCL26,755996
1116AFL27,763346
1116AFL28,763798
1119NFL27,23125
111ESFB31,757892
111NSETEST,14774
1125AFIL29,763044
1125VCCL27,760047
113ESFB31,759296
113ESFB31B,759791
1150AFIL28,760459
1150AFIL29,760641
115AFIL28A,764159
115VCCL27,757719
115VCCL28,760049
115VCCL28A,760451
115VCCL31,761599
115VCCL31A,763380
1165ESF32,758760
1165ESFB32,761461
116VCCL26A,758340
116VCCL27,758531
116VCCL27A,759392
1175IFL28,760555
1175IFL28A,763510
1180IFL28,759712
1180IFL28A,761397
1180IFL28B,764109
1180VCCL26,25814
118VCCL27,758342
118VCCL27A,758533
118VCCL27B,759394
11MCS27,763292
11NSETEST,12841
11RCPL28,764331
11VCCL27,760045
1215DHPL27,759444
121NSETEST,14777
1225DCCL27,760956
1225IFL27,759897
1225IFL28,760656
125VCCL31,760558
1275DCC28,763717
1275DCCL28,761737
12AFIL27,759446
12AFIL27A,759098
12AFIL28,759283
12DCCL27,759793
12DCCL29,760763
12DCCL29A,760614
12VCCL27,25464
12VCCL27A,25812
12VCCL27B,29749
12VCCL27D,758338
12VCCL28,759281
12VCCL29,25466
12VCCL29A,29274
12VCCL29B,756916
12VCCL29C,757721
12VPT28,763575
12VPT28A,754402
131NSETEST,14778
13DCCL29,761609
141NSETEST,14781
14DCCL31,760767
14DCCL31A,760765
14RARL30,30269
151NSETEST,14782
161NSETEST,14784
1650RARL27,24693
165RARL28,759237
171NSETEST,23446
181NSETEST,23447
182D030926,760887
182D051126,763288
182D070127,764048
182D081026,761686
182D100926,761383
182D101226,31718
182D121126,763373
182D130826,760940
182D140127,764153
182D151026,762430
182D171226,753787
182D180926,761480
182D191126,763526
182D210127,764253
182D210826,761054
182D221026,763078
182D241226,755786
182D270826,760165
182D271126,763625
182D280127,764329
182D291026,763204
182D311226,763782
18MVL27,23111
18MVL31,753933
18PVL29,756035
18PVL29A,756037
20MICRONS,16921
21STCENMGM,4
360ONE,13061
364D010727,763783
364D021026,759341
364D030926,758940
364D031226,760100
364D040227,760785
364D040327,760888
364D060527,763289
364D061126,759600
364D070127,760593
364D080427,761687
364D080727,764049
364D081026,759433
364D100627,31784
364D100926,758888
364D101226,760299
364D110227,760941
364D110327,761384
364D121126,759831
364D130527,763374
364D130826,758414
364D150127,760714
364D150427,762431
364D150727,764154
364D151026,759476
364D170627,753799
364D170926,759199
364D171226,760391
364D190227,761055
364D190327,761481
364D191126,759866
364D200527,763527
364D200826,758589
364D210127,760780
364D220427,763079
364D220727,764254
364D231026,758835
364D240627,755802
364D240926,759047
364D250227,760166
364D251226,760526
364D261126,760030
364D280127,760761
364D280527,763626
364D280826,758731
364D290427,763205
364D290727,764330
364D291026,759504
3BBLACKBIO,762518
3IINFOLTD,6232
3MINDIA,474
3PLAND,2595
574GS2026,6695
575PY26,836
577GS2030,22292
579GS2030,18857
582RJ27,1824
585GS2030,1341
588CG26,1703
591GS2028,757753
593CG26,1449
596PY26,5880
597CG27,1887
599MP26,5525
5PAISA,445
601GS2028,6866
601GS2030,757983
601RJ26,5994
603GS2029,760622
604AS26,7038
604GJ26,6209
607RJ26,6987
609AS26,6304
609KA28,21930
60TN28,757425
610GS2031,5012
612KA27,21929
613GS2028,6868
613OR28,757931
614TN28,757728
617KL27,1709
619GS2034,18973
61CG27,2013
61GJ28,757559
61RJ27,837
622AS30,757018
622GS2035,953
622KL27,1361
623RJ27,5877
624MH26,5330
624MH28,21947
627PFCL27,757449
627TN27,758923
627TN29,758200
628GJ27,5524
628GS2032,757994
629RJ26A,7500
62RJ27,22272
632KA28,22302
633AS26A,7495
633GS2035,756890
633TN30,22135
634RJ27,6307
635AP27,20572
635LT28,758336
635MH28,1212
636GS2031,761020
636HP28,22267
637RECL27,758294
638MH27,5467
639BR27,3650
63MOONS,11868
63PY27,7153
640NHPCL27,758440
640TN32,757398
641GA30,21040
641TN30,22103
642GA30,852
642JK31,756807
642JK31A,757426
642MN30,21919
642PN30,22298
642TN31,756787
642UP30,849
643AP30,976
643MH27,5414
643RJ27,7867
643UK30,22451
644GJ29,20601
644GJ29A,22337
644MH28,22342
644UK30,853
644UP30,22262
645BR27,3695
645GJ30,22448
645GJ30A,1827
645GS2029,13472
645HP29,838
645MH27,599
645ML30,22449
645MN30,22301
645RJ27,2071
645RJ27A,7894
645RJ30,855
646GJ30,982
646JK30,22303
646RJ30,22340
646RJ30A,22450
646WB30,22269
647GJ30,21422
647IRFC28,758169
647KA30,1080
647MH28,773
648AP27,20922
648AP32,21039
648AS30,985
648GS2035,759396
648HR40,22299
648KA30,22335
648KA31,861
648MZ30,988
648RJ27,8319
649AP33,22264
649GJ29,1364
649KA30,21390
649KA30A,1158
649KA31,22336
649MH31,22343
649OR30,757729
649RJ30,22043
649TN50,22136
649TS50,22263
64AP28,1362
64GJ30,22296
64GJ30A,846
64KA30,22265
64KA30A,22452
64KA30B,843
64KA30C,972
64KA31,22266
64MH30,973
651GJ33,757019
651HP30,840
651KA30,758
651KA30B,1650
651KA30C,1727
651KA31,21419
651UP32,756808
652KA30,1522
652MH30,1236
652ML30,22009
652MP35,21949
652NL30,21993
652PY30,994
652RL28,757917
652TS50,22304
653CG28,5671
653HP29,1215
653KA30,1365
653TN31,1839
654AP30,20923
654AR30,1157
654GA30,20921
654GA30A,1516
654GJ30,21216
654GS2032,7843
654KA30,1453
654MH27,8126
654MH30,21932
654MP35,22297
654RJ30,22059
654RJ30A,1160
654TN29,759716
654TN31,756853
654UP30,779
654WB35,22173
655AP28,21549
655AP33,864
655AP35,22294
655AS30,20653
655AS30A,22447
655GA30,1074
655GA30A,1454
655KL30,21901
655MH28,605
655RJ30,22079
655RJ50,22023
655RJ55,22033
655TN29,759851
655TN30,22114
655TR30,858
655WB30,22178
656AP31,20666
656AS30,754
656KA30,14
656MH30,776
656MH32,1000
656MN30,21921
656RJ29,759984
656UP30,1525
657AP30,21235
657GA30,1237
657GJ29,20279
657GJ31,2014
657GS2033,7194
657HP30,1644
657HP30A,1647
657MH31,21936
657MP30,21975
657MZ35,22014
657RJ30,22056
657TN31,1890
658AP30,20280
658GA30,20598
658GA30A,1646
658GA31,1830
658GJ27,3061
658IRFC30,758167
658JK30,22179
658KA30,20288
658MP35,21948
658RJ30,22050
658TN29,759305
658UP30,1239
659CG28,5971
659HR30,1077
659PFCL30,757451
659RJ30,22073
659RJ30A,1241
659RJ31,1836
659UP30,997
65AP30,20654
65AP38,22295
65GA30,22261
65GA30A,22369
65GJ30,1075
65GJ30A,1233
65KA30,22368
65KA30A,1227
65KL27,21909
65NL30,991
65RJ30,22372
65RJ50,22293
65TN30,22374
65UP30,22081
65WB30,22174
660AP39,22332
660AP40,22333
660RECL27,757577
660TN35,757020
660TS30,22195
661AP34,757399
661GJ32,756855
661KA30,593
661KA33,1944
661KA35,22454
661MP35,22338
661MP37,1953
661PFCL28,756767
661RJ30,1083
661RJ31,1896
661RJ31A,2016
661TS51,2017
661UP31,1891
661WB36,1947
662AS30,1425
662CG28,6315
662GA31,1939
662GS2051,7193
662HR41,2019
662JH30,761
662JK30,22180
662KA32,782
662KA32A,1733
662NL30,1428
662PY28,6895
662RJ30,1369
662RJ41,2020
662TS41,1959
662UK30,617
662UP30,1695
662UP31,1938
662WB35,22341
663AP37,1905
663AS35,756809
663GA35,757400
663GJ29,65
663HP31,2021
663HP33,2023
663HR28,6317
663KA30,22410
663KA34,1651
663KL30,21910
663MH30,596
663ML31,1940
663MN31,1833
663PN51,1910
663TN35,1652
663TN55,22102
663UP30,614
663WB31,2022
663WB41,1902
664AP39,1866
664AS30,1246
664GJ36,756811
664GS2027,27405
664GS2035,3204
664HR36,757034
664JK36,1863
664KA32,22370
664ML35,757382
664MP30,21971
664MZ32,1899
664PFCL30,756765
664PY32,1730
664RJ30,22412
664RJ35,757383
664SK31,1888
664TN29,761318
664TS50,22183
664TS51,1872
664UP30,21
664UP31,2024
665AP33,757427
665AP34,757428
665AP36,1739
665AP40,1745
665AP41,1871
665GA35,756810
665GJ30,22406
665GJ37,756812
665HP32,756100
665IRFC30,756947
665JK30,1373
665KA30,72
665KA35,1531
665ML30,609
665PN50,21716
665PN50A,1757
665TR35,1738
665TS40,1742
665WB28,3726
665WB30,22176
666JH34,1860
666KA32,1248
666NBRD28,758642
666RJ29,759548
666SIDBI28,758644
666TN29,7050
666TN30,22413
666TN35,757430
667AP32,756854
667GS2035,5577
667GS2050,956
667MH31,29
667MH32,1251
667NBFID30,757483
667RJ30,87
667RJ50,22080
667TN50,22375
667TS50,1535
667UK30,76
667UP30,22414
667UP32,756101
668AP33,1378
668AP35,22453
668AP35A,1432
668AP35B,757429
668AP39,22455
668GA30,22405
668GJ33,756856
668GS2031,7205
668GS2033,760623
668GS2040,757847
668HR38,757035
668HR39,22373
668JH32,1376
668KA36,1437
668MZ31,1430
668RJ35,756788
668TN55,22134
668UP30,92
668WB30,22411
668WB35,1532
669GJ34,757109
669GJ35,757110
669KA37,1379
669MP30,21992
669PN30,590
669TN30,179
669TN50,22113
669TS40,1655
669TS50,22371
669UP30,22097
66AS30,1163
66AS30A,1645
66GA30,21389
66GA30A,20
66GJ29,21650
66HP30,1221
66KA37,1950
66MH31,21937
66ML30,1528
66ML30A,1712
66MN30,1368
66MZ30,22017
66PN30,1165
66RJ30,18
66RJ30A,611
66RJ30B,1422
66RJ30C,1715
66SK30,1084
66TN29,22129
66TN30,22111
66UK31,1854
66UP30,1086
66UP30A,1649
66UP31,1842
66WB30,1721
670GJ33,757731
670RECL29,758296
670RJ50,22070
670TN50,22128
671AP35,756858
671MN40,757036
671RJ30,22077
671TN29,6741
671TN35,755926
671TN35A,757111
671TS40,1446
671TS50,22457
671WB40,1443
672AP28,20914
672GA30,20913
672GJ30,3750
672HR35,867
672KA33,1166
672KL27,2901
672MH38,756063
672MH40,756065
672PN30,21786
672RJ30,171
672TN27,420
672TR40,756814
673HPCL30,756705
673KL28,21903
673MP30,21981
673PFCL27,759021
673PN40,1382
673RJ35,757560
673SK30,173
673TN30,22122
673TN40,1254
673TS50,1256
674AP37,756859
674GA30,165
674MH29,758843
674SIDBI29,759983
674TN50,22112
674TS50,1386
674UK35,756092
674UK35A,757561
674UP30,161
675AS40,756061
675BR27,4980
675GJ27,29517
675GJ29,6093
675GJ31,4575
675GS2029,28530
675HP29,760063
675HR38,756094
675KA33,74
675KA33A,618
675KA34,1092
675KA35,1006
675MH39,756064
675MH40,756097
675RJ30,969
675RJ30A,759863
675RJ31,3195
675TR40,756098
676AS32,757730
676GS2061,2317
676JK31,756908
676MH37,756062
676MP33,95
676MP40,1012
676PN40,877
676RJ31,3641
676TN31,5742
677AP31,758201
677AP38,876
677AP40,22422
677AS40,757113
677BR28,5227
677HR39,757112
677KA33,22421
677KA34,35
677KL37,757386
677MH30,759907
677MH37,756093
677MH38,756095
677MP37,756864
677MP39,756865
677OR29,759165
677PN43,756099
677RJ31,3511
677RJ31A,5743
677TCL28,759101
677TN29,760274
677TN31,3364
677TN40,757114
677WB40,42
678AP33,756909
678AP37,757385
678AP38,3196
678AP39,3200
678GA31,4578
678IRFC30,756331
678JK33,3244
678KA32,182
678KL31,3655
678KL40,756866
678KL46,756103
678MH31,3659
678MH32,185
678MH39,756096
678MN31,3304
678RJ30,22063
678RJ31,3241
678RJ31A,3373
678RJ47,756104
678SK31,3643
678TS50,878
678WB35,1169
679AP34,1004
679AP34A,756906
679AP36,756863
679AS45,756867
679GS2027,7202
679GS2029,7195
679GS2031,28894
679GS2034,25736
679GS2034A,27273
679HP34,756102
679HR30,761319
679HR31,3517
679JK30,22182
679MP33,32
679MP40,1095
679PN35,1007
679PN45,756860
679TN55,756709
679TS52,756105
679TS53,756861
679TS56,756710
679WB28,4877
679WB28A,5344
67AS27,2374
67GJ30,167
67HR30,26
67HR39,756813
67JK30,23
67JK32,1253
67KA30,170
67KL27,21916
67MH28,158
67ML30,83
67NL30,86
67PN30,21719
67PN40,22456
67RJ35,756091
67TR30,89
680AP35,757732
680GJ34,757910
680NHB32,756996
680RJ35,757734
680TN35,757735
681HR39,755854
681KL31,4581
681MH28,427
681MH31,3704
681PN31,3755
681RL36,757915
681TR35,1172
682AP36,757384
682BR28,5026
682CG28,4984
682GJ27,25828
682JH34,3082
682KL32,3077
682KL35,3083
682MH32,3376
682ML31,3238
682PN36,3085
682RJ31,3259
682TN35,757913
682TN36,757546
683AP34,756857
683BR30,7043
683GA31,5882
683GJ30,297
683GS2039,6935
683JK42,755855
683KA31,6988
683KA31A,7045
683KA31B,7155
683MH30,761454
683MH31,4752
683MH32,3567
683MH32A,3665
683MH32B,4580
683MN40,757115
683TN31,4755
683TN31A,7156
683WB28,4989
683WB31,2925
683WB31A,3519
684AP37,756911
684AP38,757387
684AP39,757388
684AR31,3257
684BR30,7152
684GA31,3076
684GJ30,454
684GJ31,2928
684GJ31A,5558
684GJ31B,759852
684HP35,756910
684HR32,3571
684JK31,3073
684JK31A,758202
684JK42,757037
684KL30,21913
684KL33,3656
684KL47,756815
684MH32,3520
684MZ34,1090
684PN31,5883
684RJ30,22068
684RJ31,3713
684RJ31A,4571
684RJ31B,6990
684TN29,758711
684TS40,68
684TS56,755925
684UK31,2919
684UP31,5887
685AP36,38
685AP41,756913
685AR31,2922
685AS29,8186
685AS31,2930
685AS31A,5881
685BR30,5556
685GA31,2077
685GA31A,2910
685GA31B,5674
685GA31C,7154
685KA30,300
685ML31,2937
685MP31,5677
685NBRD29,759019
685NL31,3265
685NL31A,3710
685PFCL31,760799
685RJ30,302
685RJ31,2079
685RJ47,756816
685RJ51,756817
685TN51,2097
685TS50,757119
685WB30,22219
685WB30A,22226
685WB31,5566
686AP35,5736
686AS35,757733
686HP30,6878
686JH36,2916
686KA30,449
686KL35,5737
686MH32,3707
686NBFID30,759834
686NHPCL31,756934
686NHPCL32,756932
686NHPCL33,756923
686NHPCL34,756886
686NHPCL35,756888
686NHPCL36,756903
686NHPCL37,756905
686NHPCL38,756919
686NHPCL39,756921
686NHPCL40,756884
686PN33,2940
686PY34,2943
686REC35,756720
686RJ36,5740
686RJ52,757041
686TN29,760478
686TS41,2095
686TS46,757117
686TS47,757118
686UP30,22094
686UP33,757932
687AP33,757933
687AP35,746
687AP37,2096
687AP38,41
687AP40,5741
687AS31,5670
687AS31A,7041
687BR30,5970
687BR30A,6877
687GJ28,30080
687GJ28A,30413
687HR31,5536
687JH31,5676
687KA31,6887
687MH30,448
687MH33,3379
687MH33A,3574
687MN31,5691
687REC30,756722
687RJ31,5561
687SK31,6991
687TN28,30414
687TS47,755856
687TS55,755857
687UP31,5695
688AP34,21138
688AP34A,757934
688AP35,21054
688AP40,756912
688BR35,757627
688GA31,5557
688GJ31,4893
688KA31,5986
688KA32,7047
688MH33,3522
688ML35,756907
688MN31,2078
688MP41,757389
688PN45,756914
688PN45A,757116
688PN46,756915
688PY31,22026
688RJ46,2089
688UK30,22168
688UP31,2080
688UP31A,4757
688WB40,1015
689AP35,2086
689BR28,2065
689GA30,303
689GA31,4750
689GA31A,5972
689GA35,757912
689GJ31,5977
689KA33,7159
689KL51,757040
689MH31,4881
689MH32,4760
689MP35,21983
689MP40,767
689NL30,759908
689NTPC35,756938
689OR28A,29696
689PN31,5560
689PN46,757038
689RJ48,757039
689TN28,30175
689TS51,3266
689UP31,5565
689WB41,2092
68AS30,164
68GS2060,22438
68JK35,1009
68KL31,3070
68MH31,4579
68MN30,21924
68NL31,5744
68PN26,21711
68RJ31,3752
68SK31,5745
68TS50,1018
68TS50A,1098
68TS57,756862
68UK31,3067
690AP27,20599
690BR35,757911
690GS2065,756014
690LICH27,756852
690PFCL31,760800
690UP30,22093
691AP39,626
691AP40,3388
691AS30,431
691AS31,5969
691GJ30,4991
691HP31,6879
691MH33,5678
691MH34,5679
691MP40,629
691NL30,437
691RJ31,4866
691RJ31A,5541
691RJ31B,5995
691TN31,760877
691TN31A,761320
691UP30,22100
691UP30A,439
691WB31,6897
692AP41,6992
692AVTL28,759789
692BR32,21161
692GS2039,27127
692HP33,6881
692HP45,757393
692HR30,5415
692HR36,3382
692HR36A,4612
692JH28,30174
692MP43,757390
692OIT28,759505
692PFCL28,761026
692PN35,21895
692RJ30,430
692RJ31,6557
692TN29,30415
692TN30,760556
692TN45,757394
692TN46,6993
692TS44,757391
692TS45,757392
692UP31,6000
692WB45,757395
693AP38,5889
693GJ31,2230
693GJ31A,6320
693HP31,5537
693HP32,6880
693JH30,428
693KA32,5987
693OR28,30090
693SK31,2913
693TS37,5896
693UP31,6558
693UP31A,6744
694AP37,3513
694AP38,3514
694AP41,5897
694AS31,6556
694CG29,2907
694GA30,21139
694GS2036,763340
694JK36,7044
694KL62,757397
694MH31,4993
694MP35,21979
694PGCIL35,756743
694RJ33,5886
694RJ35,757748
694TN50,22126
694TN55,757396
694TS50,322
694TS50A,630
694TS60,22207
694UK31,4891
694UP31,2140
694UP31A,4889
694WB36,7160
695AS30,21162
695BR30,6318
695GJ31,5033
695GS2061,6817
695HP29,21141
695HP33,20859
695HP34,20858
695HR33,3696
695KA28,25470
695KA31,6210
695MH31,5035
695MH32,4883
695MN30,21925
695MP30,760557
695OR31,758578
695PN31,4887
695PN40,319
695RECL28,761826
695RJ31,2137
695SK30,22156
695TN31,2260
695TN31A,4994
695TN31B,5471
695WB35,22145
696AP33,758203
696AP34,758188
696AP35,3575
696AP36,3576
